name,brand,type,model_year,price,mileage,fuel_type,transmission,safety_rating,engine_cc,seating_capacity,power_bhp,torque_nm,body_type,airbags,abs,ground_clearance,boot_space,service_cost,insurance_cost
Swift,Maruti,Car,2020,1516583,21,Hybrid,Automatic,3,1197,5,89,192,Hatchback,2,No,183,667,5192,51561
Swift,Maruti,Car,2020,2741531,16,Electric,Manual,3,1197,5,89,127,Hatchback,4,No,189,494,8871,26587
Swift,Maruti,Car,2020,647380,21,Hybrid,Automatic,4,1197,5,89,308,Hatchback,3,Yes,204,535,8570,26610
Swift,Maruti,Car,2020,1335616,18,Diesel,Manual,4,1197,5,89,206,Hatchback,4,Yes,207,268,14572,49550
Baleno,Maruti,Car,2020,673712,25,Diesel,Automatic,5,1197,5,89,363,Hatchback,7,No,234,337,12698,56145
Baleno,Maruti,Car,2020,1149909,15,Electric,Automatic,5,1197,5,89,333,Hatchback,2,Yes,227,524,13390,56066
Baleno,Maruti,Car,2020,3622106,24,Hybrid,Automatic,3,1197,5,89,384,Hatchback,5,No,154,360,11600,51248
Baleno,Maruti,Car,2020,2048384,14,Petrol,Automatic,5,1197,5,89,179,Hatchback,3,Yes,171,265,11118,55506
Dzire,Maruti,Car,2020,847282,17,Diesel,Automatic,4,1197,5,89,319,Sedan,5,No,223,571,3557,31000
Dzire,Maruti,Car,2020,1699642,23,Hybrid,Manual,3,1197,5,89,139,Sedan,5,Yes,157,239,11012,44177
Dzire,Maruti,Car,2020,1964921,17,Diesel,Manual,4,1197,5,89,363,Sedan,1,Yes,179,203,7017,38405
Dzire,Maruti,Car,2020,3280527,15,Diesel,Automatic,3,1197,5,89,302,Sedan,3,No,170,269,11428,39558
Brezza,Maruti,Car,2020,2247628,23,Hybrid,Automatic,5,1462,5,103,199,SUV,3,Yes,213,297,4623,56260
Brezza,Maruti,Car,2020,1963950,21,Petrol,Automatic,5,1462,5,103,217,SUV,1,Yes,151,375,5763,35083
Brezza,Maruti,Car,2020,1520091,24,Hybrid,Automatic,4,1462,5,103,287,SUV,4,No,244,209,12594,17883
